energy,liveness,speechiness,danceability,valence,uri
0.391,0.137,0.0845,0.843,0.496,spotify:track:51Fjme0JiitpyXKuyQiCDo
0.65,0.0905,0.0306,0.772,0.262,spotify:track:3wPPWcVuinAU7dXcJXtCID
0.563,0.109,0.0945,0.546,0.897,spotify:track:2DsZ6pXK1AG6emFugTeYW3
0.787,0.323,0.032,0.66,0.199,spotify:track:6juLaduD4STCUDWT0AYun4
0.629,0.324,0.0735,0.798,0.4,spotify:track:3F9ByoUqu31xU0I3G5xfVg
0.727,0.273,0.0274,0.614,0.223,spotify:track:6MHeQK5HbzLFIUzfbyt8pO
0.864,0.209,0.0584,0.556,0.4,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
0.788,0.683,0.113,0.732,0.528,spotify:track:0U7s0q2Q81a3n4bvPi6vSb
0.62,0.114,0.0567,0.917,0.457,spotify:track:6iO2JKc25YwO27CoQIya3O
0.742,0.593,0.0898,0.279,0.328,spotify:track:2bL2gyO6kBdLkNSkxXNh6x
0.625,0.134,0.0601,0.716,0.826,spotify:track:2BY7ALEWdloFHgQZG6VMLA
0.74,0.22,0.172,0.785,0.746,spotify:track:4cno0k9jDEFpLAQyHNjqVx
0.982,0.162,0.208,0.469,0.413,spotify:track:2yuyPke3xjantGgapFPH3e
0.499,0.0985,0.157,0.943,0.881,spotify:track:0QWe786CWm4PVKRdaehQoB
0.477,0.0579,0.0687,0.733,0.545,spotify:track:3mRLHiSHYtC8Hk7bzZdUs1
0.836,0.116,0.0444,0.745,0.874,spotify:track:2AY1UAimvTqjJC8vDJsOyy
0.824,0.105,0.0772,0.7,0.763,spotify:track:6I4tqXElEnqdoPHp34Co21
0.715,0.271,0.0407,0.679,0.571,spotify:track:6fNhZRFEkBfgW39W3wKARJ
0.716,0.135,0.0349,0.649,0.163,spotify:track:0lYBSQXN6rCTvUZvg9S0lU
0.522,0.663,0.0479,0.834,0.892,spotify:track:50HQcZ73TTZ2kQNUhcYawy
0.867,0.0705,0.0843,0.402,0.38,spotify:track:13qjycCLStZb9sJje6v0MC
0.869,0.254,0.0387,0.366,0.384,spotify:track:3acBQxxlyb0jC2xqndDzSf
0.649,0.0555,0.0349,0.359,0.133,spotify:track:5g7rJvWYVrloJZwKiShqlS
0.849,0.058,0.0526,0.643,0.903,spotify:track:6GG73Jik4jUlQCkKg9JuGO
0.617,0.109,0.0287,0.486,0.417,spotify:track:1mea3bSkSGXuIRvnydlB5b
0.446,0.181,0.0452,0.685,0.271,spotify:track:2jqPr0ukhRippoNrW9Nrj3
0.976,0.0876,0.0492,0.716,0.483,spotify:track:3SYOErtILwcoC4FofjtkxS
0.82,0.0706,0.0728,0.861,0.781,spotify:track:1dtTRXifeGC51adYy0902s
0.764,0.0503,0.214,0.668,0.691,spotify:track:6V5DQrWqqMYfJL69FEv86o
0.972,0.297,0.0774,0.745,0.556,spotify:track:4Clmg1g8n2yBYG13Z1oSdG
0.478,0.105,0.0484,0.14,0.0412,spotify:track:3f4fc8c8unrQeKecmUPEDR
0.789,0.189,0.044,0.487,0.0564,spotify:track:7wBJfHzpfI3032CSD7CE2m
0.728,0.149,0.0484,0.841,0.43,spotify:track:6gBFPUFcJLzWGx4lenP6h2
0.73,0.124,0.222,0.834,0.446,spotify:track:2xLMifQCjDGFmkHkpNLD9h
0.427,0.21,0.0317,0.598,0.0605,spotify:track:3eekarcy7kvN4yt5ZFzltW
0.537,0.157,0.0514,0.716,0.28,spotify:track:39Yp9wwQiSRIDOvrVg7mbk
0.754,0.112,0.0383,0.547,0.41,spotify:track:7qPFNt2ro8pDzemtMxO72f
0.515,0.0421,0.0486,0.756,0.516,spotify:track:7IAbo4n3HK6YCOs5bNahid
0.684,0.111,0.0282,0.676,0.751,spotify:track:1t5F0V7FL3usVveLG49JIi
0.638,0.0647,0.04,0.727,0.113,spotify:track:1eumDcFTsoLPEN31viUhkt
0.962,0.108,0.0842,0.405,0.489,spotify:track:4FthwGFz9SVZgCVqxNXsSK
0.28,0.102,0.0281,0.322,0.175,spotify:track:1Cj2vqUwlJVG27gJrun92y
0.76,0.309,0.116,0.824,0.279,spotify:track:3PkUvpDnKBjOR11CTAD607
0.756,0.43,0.0353,0.76,0.815,spotify:track:7qaYhfTkekBcIm8q9Mewjd
